,CloseTSLA,CloseNIO,spread,zscore
2025-01-06,411.05,4.71,406.34000000000003,-0.17590440954718203
2025-01-03,410.44,4.63,405.81,-0.1775214466349097
2025-01-02,379.28,4.55,374.72999999999996,-0.2723469422699533
2024-12-31,403.84,4.36,399.47999999999996,-0.1968343612864486
2024-12-30,417.41,4.38,413.03000000000003,-0.15549313008133775
2024-12-27,431.66,4.48,427.18,-0.11232129085238461
2024-12-26,454.13,4.69,449.44,-0.04440573316782645
2024-12-24,462.28,4.62,457.65999999999997,-0.019326403241183763
2024-12-23,430.6,4.48,426.12,-0.11555536502783977
2024-12-20,421.06,4.54,416.52,-0.14484509340932045
2024-12-19,436.17,4.4,431.77000000000004,-0.09831713946998909
2024-12-18,440.13,4.32,435.81,-0.08599104544278277
2024-12-17,479.86,4.54,475.32,0.03455449292724837
2024-12-16,463.02,4.42,458.59999999999997,-0.016458450670497126
2024-12-13,436.23,4.51,431.72,-0.09846969013864267
2024-12-12,418.1,4.59,413.51000000000005,-0.15402864366226365
2024-12-11,424.77,4.67,420.09999999999997,-0.1339224655337267
2024-12-10,400.99,4.77,396.22,-0.20678066488265953
2024-12-09,389.79,5.18,384.61,-0.2422029301440127
2024-12-06,389.22,4.61,384.61,-0.2422029301440127
2024-12-05,369.49,4.61,364.88,-0.30239942399470154
2024-12-04,357.93,4.6,353.33,-0.3376386284536705
2024-12-03,351.42,4.64,346.78000000000003,-0.3576227660472847
2024-12-02,357.09,4.4,352.69,-0.3395912770124358
2024-11-29,345.16,4.48,340.68,-0.37623394762301726
2024-11-27,332.89,4.38,328.51,-0.4133647803732901
2024-11-26,338.23,4.31,333.92,-0.3968587980249765
2024-11-25,338.59,4.67,333.91999999999996,-0.39685879802497664
2024-11-22,352.56,4.84,347.72,-0.3547548134765981
2024-11-21,339.64,4.7,334.94,-0.3937467643844442
2024-11-20,342.03,4.65,337.38,-0.38630229175415126
2024-11-19,346.0,4.63,341.37,-0.37412874839559834
2024-11-18,338.74,4.67,334.07,-0.39640114601901594
2024-11-15,320.72,4.49,316.23,-0.4508312245946007
2024-11-14,311.18,4.43,306.75,-0.4797548313713128
2024-11-13,330.24,4.61,325.63,-0.4221516988877343
2024-11-12,328.49,4.58,323.91,-0.42739944188941614
2024-11-11,350.0,5.06,344.94,-0.36323663065373524
2024-11-08,321.22,5.09,316.13000000000005,-0.45113632593190767
2024-11-07,296.91,5.31,291.6,-0.5259776839733369
2024-11-06,288.53,5.0,283.53,-0.5505993618940191
2024-11-05,251.44,5.28,246.16,-0.6646157316456786
2024-11-04,242.84,5.14,237.70000000000002,-0.6904273047818582
2024-11-01,248.98,5.1,243.88,-0.6715720421362802
2024-10-31,249.85,5.1,244.75,-0.6689176605017085
2024-10-30,257.55,5.35,252.20000000000002,-0.6461876108723302
2024-10-29,259.52,5.6,253.92,-0.6409398678706484
2024-10-28,262.51,5.81,256.7,-0.6324580506935112
2024-10-25,269.19,5.26,263.93,-0.6103992240062086
2024-10-24,260.48,4.98,255.50000000000003,-0.6361192667411962
2024-10-23,213.65,5.19,208.46,-0.7796389358104513
2024-10-22,217.97,5.23,212.74,-0.7665805985737079
2024-10-21,218.85,5.14,213.71,-0.7636211156018291
2024-10-18,220.7,5.22,215.48,-0.7582208219314936
2024-10-17,220.89,5.15,215.73999999999998,-0.7574275584544953
2024-10-16,221.33,5.51,215.82000000000002,-0.7571834773846495
2024-10-15,219.57,5.62,213.95,-0.7628888723922922
2024-10-14,219.16,5.79,213.37,-0.7646584601486732
2024-10-11,217.8,6.24,211.56,-0.7701807943539316
2024-10-10,238.77,6.22,232.55,-0.7061400236531734
